LIB_FKT,long,lat,x_unknown,y_unknown,x_32738,y_32738
FKT ANTARALAVA,47.58206653,-21.1843316,518860.6679,546911.3415,768087.762,7655267.683
FKT SANDRASATY,47.65055316,-21.00240603,526127.3562,566999.2275,775537.961,7675300.706
FKT AMBOHIMITA,47.61472467,-21.07177777,522345.2908,559347.2386,771685.5056,7667678.546
FKT ANALAMARINA,47.65231287,-21.06195631,526259.6291,560404.9447,775611.328,7668701.769
FKT AMBALAFATAKANA EST,47.7717247,-21.0559307,538675.101,560971.9932,788038.5246,7669157.87
FKT AMBALAFARY,47.79288668,-21.1109496,540822.2993,554861.6378,790132.0281,7663024.895
FKT MAROFOTOTRA,47.71493459,-21.05696882,532771.9583,560905.7726,782131.5844,7669144.539
FKT AMBOHIMASINA,47.7520131,-21.09642641,536589.1584,556505.5518,785911.3676,7664707.722
FKT BEFARY,47.78814295,-21.16471853,540278.4143,548912.4956,789534.3439,7657077.448
FKT AMBATOHARANANAKELY,47.77282201,-21.21813942,538636.8832,543011.2008,787838.8125,7651187.841
FKT AMBODIRAFIA EST,47.73180973,-21.12877567,534460.5535,552941.2729,783749.6277,7661160.661
FKT AMBATOHARANANA,47.72099112,-21.17937578,533290.944,547348.1115,782529.1502,7655575.102
FKT SANDRAKELY,47.64951854,-21.12932313,525911.7984,552948.7936,775196.5215,7661244.899
FKT AMBOHINIHAONANA,47.684386,-21.13995829,529524.3843,551742.9685,778800.1348,7660006.051
FKT AMBODIMANGA EST,47.69117633,-21.23895394,530141.9537,540776.7478,779319.4613,7649028.747
FKT AMBOHITSARA I,47.67437577,-21.19277699,528438.4755,545903.2891,777661.2332,7654173.161
FKT SAHOFIKA,47.63848741,-21.21751183,524691.0049,543193.7912,773887.5629,7651495.994
FKT ANDRORANGAVOLA VATOFOTSY,47.57539089,-21.20013281,518154.7357,545167.0178,767365.8464,7653528.852
FKT TSARATANANA,47.63825114,-21.16650618,524709.8569,548841.0975,773957.1306,7657145.918
FKT AMBODIGOAVY,47.61002173,-21.19451603,521754.9714,545762.2479,770973.1607,7654092.068
FKT AMBODIMANGA OUEST,47.61355804,-21.1442654,522163.9758,551322.9164,771432.2402,7659651.804
FKT VOHITRARIVO,47.60887323,-21.16595206,521659.4263,548925.567,770905.9473,7657257.793
FKT AMBOHIPO,47.57321791,-21.1690199,517954.197,548613.2414,767196.1102,7656978.532
FKT RANOMAFANA,47.44483945,-21.27934162,504543.5147,536491.4593,753670.5945,7644971.38
FKT AMBATOLAHY,47.42514867,-21.22189382,502540.9989,542864.5816,751724.2842,7651365.248
FKT TSARAMANDROSO,47.50966693,-21.20362744,511328.3906,544828.5564,760533.2495,7653251.426
FKT VOHIMARINA,47.48263066,-21.36238227,508402.5519,527271.7699,757448.5388,7635713.046
FKT MENARANO,47.47017183,-21.29171584,507162.9728,535104.1244,756278.7599,7643559.943
FKT AMBODIAVIAVY,47.4910901,-21.26713696,509351.9673,537810.6116,758493.0085,7646247.996
FKT AMPASIMPOTSY,47.50257178,-21.30655159,510513.4034,533438.7766,759615.7238,7641863.783
FKT SAHANDRAZANA,47.48589222,-21.40204597,508710.7806,522878.1271,757717.385,7631314.754
FKT MAROTOKO,47.75342623,-21.60514326,536258.3996,500175.8351,785071.5588,7608353.626
FKT AMBALAVIA,47.63494522,-21.55159065,524036.0984,506206.8748,772898.7259,7614498.111
FKT AMBATOMITRATRAKA,47.61586617,-21.59913375,522018.9915,500957.9802,770833.2403,7609265.298
FKT AMBARIJATSY,47.64547785,-21.57921672,525102.8867,503139.2876,773938.1786,7611419.569
FKT AMBOHIMAHAVELONA,47.64656592,-21.60819354,525190.0677,499929.8162,773996.3047,7608207.97
FKT AMBOATROTROKA,47.68196214,-21.60678209,528856.5721,500056.5345,777665.488,7608301.485
FKT MANDIAFASINA,47.7347374,-21.56818086,534357.8607,504285.39,783207.5134,7612482.232
FKT AMBODIARA SUD,47.78037347,-21.53664547,539115.4792,507736.6719,787998.5803,7615891.863
FKT MANAMPANDRANA,47.77826094,-21.56428415,538869.8433,504678.0256,787725.0566,7612834.072
FKT KIANJANOMBY,47.7262886,-21.61602032,533437.9906,498995.3729,782239.2123,7607198.281
FKT MALAZAMASINA SUD,47.82942435,-20.82954392,544890.4821,585985.2773,794481.3084,7694130.01
FKT MALAZAMASINA NORD,47.7669868,-20.60421256,538596.7179,610986.0049,788405.8104,7719202.198
FKT ANTANJOMANGA,47.77812948,-20.66131841,539706.0458,604654.6012,789459.7496,7712856.977
FKT BETAMPONA NORD,47.76059521,-20.68517153,537857.4981,602028.9324,787586.7635,7710246.071
FKT AMBINANINDRANO,47.80217985,-20.69857572,542177.3229,600509.0693,791895.7818,7708686.917
FKT TANAMBAO OUEST,47.7527456,-20.72001047,537008.3832,598178.7231,786702.9551,7706401.038
FKT MANAKANA,47.73562574,-20.70037448,535242.7006,600366.9423,784955.6198,7708606.26
FKT AMPASIMPOTSY,47.73561619,-20.72865169,535216.5683,597236.5161,784901.6883,7705474.17
FKT MAROHARATRA,47.78114092,-20.7247901,539961.5554,597625.2672,789653.0186,7705821.01
FKT SOANIERANA,47.78911798,-20.74046735,540777.8909,595882.7413,790454.3668,7704070.156
FKT MALEMIAMBO,47.77937328,-20.76181794,539743.3909,593527.5117,789398.2873,7701722.688
FKT AMPASIMADINIKAKELY,47.73699626,-20.77265973,535321.0509,592363.3894,784962.934,7700597.197
FKT AMBALAVOLO,47.83797834,-20.71460589,545891.2436,598702.562,795595.9824,7706846.264
FKT AMBOHITSARA EST,47.84347881,-20.78575831,546395.6796,590820.2064,796030.5512,7698954.482
FKT ANIVORANO,47.87100567,-20.78440708,549263.0279,590944.5869,798900.7962,7699053.373
FKT MAHATSARA,47.78766155,-20.80303195,540568.2177,588957.5163,790182.9296,7697142.584
FKT SAHOMBY,47.74291957,-20.8186061,535896.5108,587271.7692,785493.4281,7695497.444
FKT AMBODIMANGA,47.85846037,-20.74047198,547999.6071,595820.3105,797680.0303,7703943.427
FKT AMPASIMADINIKA,47.80942135,-20.76970762,542864.879,592627.7343,792513.675,7700794.58
FKT SAHAVATANA,47.5310663,-21.40434184,513392.7755,522591.2058,762398.8007,7630985.563
FKT AMBODIVOANGY,47.54588737,-21.20411987,515088.4173,544747.6859,764294.3107,7653136.819
FKT AMBOHINIHAONANA,47.59630484,-21.2325792,520299.4185,541558.749,769479.169,7649899.61
FKT KIANJANOMBY,47.57375645,-21.23699778,517955.2515,541086.8144,767129.6527,7649448.501
