"","ID","year","month","intervention","Population","Population.u5","Population.over5","closest.csb","real.dist.csb","m1.fit.st","palu.pc.2nn_0.08","palu.und5.pc.3nn_0.19","fokontany","altitude","nets.high","nets.low","yfl","tc","fcl","maj.veg","min.veg","med.veg","mean.ann.temp","min.ann.temp","max.ann.temp","mean.ann.p","wet.p","dry.p","monthly.p","monthly.max.t","monthly.min.t","monthly.p.lag","monthly.max.t.lag","monthly.min.t.lag","lat","long","x_32738","y_32738"
"1",0,2014,1,1,545,98,447,"csb2.tsaratanana",8.102,NA,NA,NA,"ANTARALAVA",593.142857142857,0.657027611013322,0.660013098235992,0.0910215366705471,55.7747380675204,0.124708963911525,16,4,"Degraded humid forest",20.8961806297302,12.233333269755,28.0666666030884,26990,5001,677,380.3741075,28.32570975,19.82461395,380.3741075,28.32570975,19.82461395,-21.1843316,47.58206653,768087.762,7655267.683
"2",1,2014,1,1,1217,219,998,"csb1.analamarina",7.536,NA,NA,NA,"SANDRASATY",608.911764705882,0.657552789278202,0.586178289823688,0.158369777612357,61.7242021029124,0.233041779101144,16,6,"Degraded humid forest",20.685555489858,12.0516666730245,27.9683332761129,132311,24044,3492,373.4090816,28.42107206,19.76081598,380.3741075,28.32570975,19.82461395,-21.00240603,47.65055316,775537.961,7675300.706
"3",10,2014,1,1,1253,226,1027,"csb2.tsaratanana",14.735,NA,NA,NA,"AMBODIRAFIA EST",436.583333333333,0.661424072295471,0.523938890479573,0.163400937297996,63.8691216871364,0.234748707175178,16,6,"Degraded humid forest",21.5697221967909,13.237777794732,28.6666666242811,107183,19067,2823,395.5328482,29.18850169,20.81861783,388.5160103,29.63339866,21.54693872,-21.12877567,47.73180973,783749.6277,7661160.661
"4",100,2014,1,0,1018,183,835,"csb2.fasintsara",2.423,NA,NA,NA,"FASINTSARA",721,0.56665593976767,0.683997252889189,0.0551268352526812,48.9820333214611,0.0751117970635957,16,6,"Degraded humid forest",20.5089189750561,11.6905796341274,28.0872466460518,39806.5,7217.5,1080.5,345.2523875,28.3447616,19.27656802,346.7083825,28.3633641,19.33643493,-20.70192055,47.68234572,779399.7931,7708527.893
"5",101,2014,1,0,1094,197,897,"csb2.fasintsara",3.357,NA,NA,NA,"AMBATOMANJAKA",659.166666666667,0.573509759914888,0.701172225196136,0.0787685675460381,53.2668572231854,0.119956890492479,16,6,"Degraded humid forest",20.5158732278006,11.7380952380952,28.0952382768903,44504,8009,1194,349.2099681,28.39928324,19.37868533,345.2523875,28.3447616,19.27656802,-20.74409892,47.70198968,781369.0814,7703822.097
"6",102,2014,1,0,850,153,697,"csb1.ambodiara.sud",4.714,NA,NA,NA,"TSARAKIANJA",665.166666666667,0.57743655207614,0.70681916968052,0.0611635356246212,52.3191931434508,0.0887369058955935,16,14,"Degraded humid forest",20.5889582633972,11.7099999904633,28.2349999427795,41937,7658,1129,351.5095499,28.51101033,19.42752383,349.2099681,28.39928324,19.37868533,-20.75429538,47.66385859,777377.5481,7702758.681
"7",103,2014,1,0,376,68,308,"csb1.ambodiara.sud",4.491,NA,NA,NA,"SAHAKONDRO",670.666666666667,0.603551585232751,0.705403495069734,0.0433207309388784,51.1810018903592,0.0619092627599244,16,7,"Degraded humid forest",20.6708333151681,11.8285711833409,28.2714285169329,14880,2713,403,353.7466115,28.46361732,19.42634275,351.5095499,28.51101033,19.42752383,-20.78468434,47.65932582,776849.873,7699400.59
"8",104,2014,1,0,702,126,576,"csb1.ambodiara.sud",4.632,NA,NA,NA,"MANAKANA SUD",715.666666666667,0.607524656800481,0.693884548126098,0.0753132118451025,54.996298405467,0.102648063781321,16,7,"Degraded humid forest",20.4386904580253,11.7285713468279,27.9428574698312,14999,2691,412,353.4624023,28.15602303,19.29202271,353.7466115,28.46361732,19.42634275,-20.80941811,47.68135936,779099.3825,7696623.058
"9",105,2014,1,0,1427,257,1170,"csb1.ambodiara.sud",1.23,NA,NA,NA,"AMBODIARA SUD",653.1,0.587051633565424,0.703573074747477,0.0640649672907737,52.3504398826979,0.100383487480262,16,6,"Degraded humid forest",21.6075893129621,13.1107142312186,28.8392857142857,31075.5,5481.5,904,353.6590139,28.40399876,19.42488143,353.4624023,28.15602303,19.29202271,-20.78327542,47.68736257,779772.8506,7699508.256
"10",106,2014,1,0,1202,216,986,"csb2.fasintsara",20.177,NA,NA,NA,"AMPASINAMBO",1099.89655172414,0.559156130238183,0.661332232094358,0.0496396362401419,86.0039621146372,0.0607901588619297,14,16,"Humid forest",18.2999999125799,9.85208336512248,25.6604167222977,88209,15851,2392,301.5370373,26.01581651,17.44008847,353.6590139,28.40399876,19.42488143,-20.55344494,47.67253685,778647.9495,7724989.82
"11",107,2014,1,0,720,130,590,"csb2.fasintsara",12.815,NA,NA,NA,"AMBODIVOANGY",1004.6667,0.567689221007014,0.663671212149457,0.0620739516628796,45.3271018384631,0.0789093162569717,16,7,"Degraded humid forest",20.0898263692856,11.3458333412806,27.5395833571752,33991.5,6279.5,941,335.7621107,28.15823704,19.04392219,301.5370373,26.01581651,17.44008847,-20.65455044,47.62241422,773238.704,7713876.715
"12",108,2014,1,0,1109,200,909,"csb2.fasintsara",9.6,NA,NA,NA,"AMBALAPAISO",789.777777777778,0.560798422801362,0.670038811402202,0.0535758475624845,49.7021158129176,0.0732491957436278,7,6,"Wooded grassland-bushland",19.8862179976243,11.1153846153846,27.5538460658147,26069,4708,733,334.801653,27.94764613,18.90456076,335.7621107,28.15823704,19.04392219,-20.65137969,47.67788576,779027.4265,7714133.488
