OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,tmx_2014_0,tmx_2014_1,tmx_2014_2,tmx_2014_3,tmx_2014_4,tmx_2014_5,tmx_2014_6,tmx_2014_7,tmx_2014_8,tmx_2014_9,tmx_201410,tmx_201411,tmx_2015_0,tmx_2015_1,tmx_2015_2,tmx_2015_3,tmx_2015_4,tmx_2015_5,tmx_2015_6,tmx_2015_7,tmx_2015_8,tmx_2015_9,tmx_201510,tmx_201511,tmx_2016_0,tmx_2016_1,tmx_2016_2,tmx_2016_3,tmx_2016_4,tmx_2016_5,tmx_2016_6,tmx_2016_7,tmx_2016_8,tmx_2016_9,tmx_201610,tmx_201611,tmx_2017_0,tmx_2017_1,tmx_2017_2,tmx_2017_3,tmx_2017_4,tmx_2017_5,tmx_2017_6,tmx_2017_7,tmx_2017_8,tmx_2017_9,tmx_201710,tmx_201711
1,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANTARALAVA,28.32570975,28.29505317,27.87045866,26.98001687,25.12456424,23.88011484,22.93950928,23.32221974,24.68145179,26.52714669,28.03767459,28.61197626,28.12570899,27.92859683,27.70756647,27.28001701,25.81625707,23.96761636,22.94781631,23.02222051,24.48145193,27.1564966,27.93767421,29.21197574,28.63401602,28.75320388,28.50756571,27.38001739,24.41625645,22.78011446,22.14781707,23.12222089,24.58145231,26.85649546,26.14598099,28.81197612,28.7340164,28.29505317,28.10756609,27.18001663,25.81625707,24.28011446,23.04781669,23.32221974,24.98145193,27.05649622,27.6041317,28.30778329
2,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SANDRASATY,28.42107206,28.40164369,27.90139034,27.07412223,25.27826573,23.97203145,22.97395374,23.28984096,24.66835086,26.7144483,28.28738887,28.81423303,28.22107129,28.0217399,27.77113539,27.37412272,25.93917205,24.02300242,23.01304745,22.98984127,24.46835075,27.32460907,28.18738849,29.41423264,28.76016579,28.84245481,28.57113463,27.4741231,24.53917145,22.87203107,22.21304682,23.08984165,24.56835067,27.02460886,26.42648137,29.01423302,28.86016617,28.40164369,28.17113501,27.27412234,25.93917205,24.37203107,23.11304644,23.28984096,24.96835075,27.22460869,27.86729342,28.50429816
3,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIMITA,28.76416068,28.75727627,28.26486258,27.43697244,25.63418891,24.38921278,23.45318179,23.7941618,25.10937084,27.044502,28.56372495,29.1343708,28.56415991,28.38492723,28.11943956,27.73697168,26.30846292,24.45360687,23.47890741,23.49416256,24.90937155,27.66227315,28.46372587,29.73436988,29.08988641,29.20389886,28.9194388,27.83697206,24.9084614,23.2892124,22.678908,23.59416294,25.00937193,27.36227365,26.68945226,29.33437027,29.18988679,28.75727627,28.51943918,27.63697277,26.30846292,24.7892124,23.57890762,23.7941618,25.40937181,27.56227277,28.13607329,28.82449046
4,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANALAMARINA,28.68317987,28.66563164,28.14204966,27.32677926,25.52849584,24.2691833,23.3084596,23.63193425,24.94322492,26.88592471,28.44393702,29.0488636,28.4831791,28.2849534,28.01077547,27.62677892,26.19799418,24.33131167,23.33896239,23.3319343,24.74322535,27.49787733,28.3439367,29.64886331,29.01368153,29.11580678,28.81077471,27.7267793,24.79799289,23.16918292,22.53896236,23.43193468,24.84322541,27.19787751,26.57443966,29.24886369,29.11368191,28.66563164,28.41077509,27.52677947,26.19799418,24.66918292,23.43896197,23.63193425,25.24322535,27.39787695,28.02461496,28.74149466
5,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBALAFATAKANA EST,30.0137617,29.98518454,29.44094396,28.70878919,26.92937613,25.75559284,24.87617971,25.12575073,26.2911477,27.997826,29.53626668,30.36365165,29.81376094,29.58518492,29.33640551,29.01056426,27.5873345,25.81808962,24.91368505,24.82575108,26.09114884,28.59605062,29.4362663,30.96365204,30.35126495,30.4476796,30.13640625,29.11056464,26.1873348,24.65559246,24.11368399,24.92575138,26.19114922,28.29328867,27.67377058,30.55911395,30.45126533,29.98696037,29.73640513,28.91056388,27.5873345,26.15559246,25.01822208,25.12752616,26.59292419,28.497826,29.13172859,30.06365242
6,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBALAFARY,29.96133337,29.92673966,29.37902014,28.66100406,26.88876015,25.70164834,24.87336992,25.0870061,26.2101644,27.86654144,29.3716002,30.28630219,29.76133261,29.52674004,29.27053413,28.96332408,27.55493637,25.77630894,24.89870811,24.78700643,26.01016554,28.46422176,29.27159982,30.88630145,30.28667239,30.40140148,30.07053346,29.06332446,26.15493492,24.60164795,24.0987088,24.88700679,26.11016592,28.15805582,27.49693852,30.47781635,30.38667277,29.92906054,29.67053375,28.86332437,27.55493637,26.10164795,25.00719417,25.08932672,26.51248543,28.36654144,28.96311398,29.98630183
7,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT MAROFOTOTRA,28.83529886,28.79176142,28.25436917,27.4627482,25.66445635,24.42696525,23.4538712,23.73773695,25.01740556,26.89456518,28.50538337,29.17862493,28.6352981,28.39913133,28.14238982,27.76277703,26.32839591,24.48814178,23.48985766,23.43773632,24.81740622,27.49906943,28.40538298,29.77862424,29.17128472,29.24840432,28.94238909,27.86277741,24.92839486,23.32696487,22.68985744,23.53773671,24.9174066,27.19902286,26.64136923,29.37854945,29.2712851,28.79179078,28.54238944,27.66277785,26.32839591,24.82696487,23.58993223,23.73776631,25.31743557,27.39909841,28.09793746,28.87578823
8,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIMASINA,29.47632988,29.39913387,28.85058891,28.11578551,26.32454599,25.13303539,24.22498023,24.47618009,25.66787062,27.4251875,28.98567711,29.78660292,29.27632912,29.00101378,28.74511703,28.41648885,26.99285326,25.20305361,24.25438679,24.17617997,25.46787177,28.02578844,28.88567673,30.38660248,29.8057357,29.86784835,29.54511649,28.51648923,25.59285196,24.03303501,23.45438733,24.27618035,25.56787215,27.72420453,27.11508381,29.9843158,29.90573608,29.39983724,29.14511665,28.31648942,26.99285326,25.53303501,24.35667401,24.47688346,25.96857514,27.92649144,28.58151065,29.48602798
9,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT BEFARY,29.79738809,29.76300975,29.19940595,28.48640578,26.7077578,25.50948441,24.70229691,24.90285588,25.9952026,27.6140585,29.15583734,30.08184149,29.59738733,29.36301013,29.09162359,28.78769827,27.38466079,25.59416847,24.71761241,24.6028557,25.79520375,28.21276521,29.05583695,30.68183996,30.1127031,30.2476948,29.89162282,28.88769865,25.98465926,24.40948403,23.91761317,24.70285608,25.89520413,27.90627479,27.27115213,30.27405792,30.21270349,29.7643033,29.4916232,28.68769831,27.38466079,25.90948403,24.82539508,24.9041486,26.29649647,28.1140585,28.74805435,29.78184034
10,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBATOHARANANAKELY,29.63339866,29.57949255,28.99903778,28.24867679,26.45826861,25.25362228,24.43601735,24.63996908,25.73504262,27.34388482,28.9388895,29.86448155,29.4333979,29.1803847,28.89183166,28.54904684,27.14674754,25.34744127,24.44214793,24.33996764,25.53504377,27.94443949,28.83888785,30.46447875,29.93952905,30.07246985,29.69182962,28.64904723,25.74674608,24.15362189,23.64223047,24.43997021,25.63504415,27.63933918,27.04502055,30.05908886,30.03952943,29.57986385,29.29183125,28.44904728,27.14674754,25.65362189,24.54753822,24.64033989,26.03541458,27.84473049,28.53252738,29.56443268
11,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBODIRAFIA EST,29.18850169,29.0926469,28.54916312,27.81753033,26.01851988,24.80080414,23.90387774,24.15636334,25.35968507,27.1482788,28.71761461,29.49315992,28.98850093,28.69705504,28.44060596,28.11771359,26.69476329,24.87678734,23.92674635,23.85636293,25.1596862,27.75135463,28.61761423,30.09315963,29.51136923,29.56537083,29.2406052,28.21771398,25.29476272,23.70080376,23.12674642,23.95636331,25.25968658,27.45064903,26.84048251,29.69227029,29.61136961,29.09283,28.84060558,28.01771322,26.69476329,25.20080376,24.02763505,24.15654644,25.65986929,27.65153773,28.31231743,29.19201101
12,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBATOHARANANA,28.977497,28.85678526,28.31104385,27.54896342,25.7364298,24.49965211,23.59449584,23.87169334,25.09053733,26.8708834,28.45629752,29.2469238,28.77749624,28.46260265,28.20019349,27.84896505,26.4232121,24.58565075,23.60769428,23.57169411,24.89053837,27.47589611,28.35629714,29.84692268,29.29069545,29.33776991,29.00019273,27.94896543,25.0232121,23.39965173,22.80769444,23.67169449,24.99053875,27.17587865,26.5694967,29.44690354,29.39069583,28.85678765,28.60019311,27.74896467,26.4232121,24.89965173,23.70771336,23.87169573,25.39054076,27.37589812,28.05046234,28.94612036
13,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SANDRAKELY,28.83903563,28.82183755,28.32230422,27.51575813,25.69756681,24.46807237,23.54236695,23.87831773,25.14571411,27.00839931,28.52790278,29.19928703,28.63903487,28.4426719,28.18569663,27.81575737,26.37834243,24.54378845,23.5615921,23.57831737,24.94571414,27.62417371,28.4279024,29.79928629,29.15826002,29.28177955,28.98569587,27.91575775,24.9783409,23.36807199,22.76159208,23.67831775,25.04571452,27.32417336,26.64712831,29.39928667,29.2582604,28.82183755,28.58569625,27.71575698,26.37834243,24.86807199,23.66159169,23.87831773,25.44571414,27.52417333,28.10706919,28.89422673
