OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,tmn_2014_0,tmn_2014_1,tmn_2014_2,tmn_2014_3,tmn_2014_4,tmn_2014_5,tmn_2014_6,tmn_2014_7,tmn_2014_8,tmn_2014_9,tmn_201410,tmn_201411,tmn_2015_0,tmn_2015_1,tmn_2015_2,tmn_2015_3,tmn_2015_4,tmn_2015_5,tmn_2015_6,tmn_2015_7,tmn_2015_8,tmn_2015_9,tmn_201510,tmn_201511,tmn_2016_0,tmn_2016_1,tmn_2016_2,tmn_2016_3,tmn_2016_4,tmn_2016_5,tmn_2016_6,tmn_2016_7,tmn_2016_8,tmn_2016_9,tmn_201610,tmn_201611,tmn_2017_0,tmn_2017_1,tmn_2017_2,tmn_2017_3,tmn_2017_4,tmn_2017_5,tmn_2017_6,tmn_2017_7,tmn_2017_8,tmn_2017_9,tmn_201710,tmn_201711
1,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANTARALAVA,19.82461395,19.48615982,19.02346469,17.53592734,14.82700006,13.69935629,13.10905132,13.24356103,14.18527348,16.12374976,17.94176311,19.27188592,19.62461419,19.11970347,18.86057241,17.83592748,15.51869239,13.78685591,13.11735834,12.94356134,13.98527322,16.75309968,17.84176363,19.8718863,20.13292122,19.94430952,19.66057165,17.93592787,14.11869227,12.59935591,12.31735815,13.04356122,14.0852736,16.45309994,16.05007001,19.47188668,20.2329216,19.48615982,19.26057203,17.7359281,15.51869239,14.09935591,13.21735822,13.24356103,14.48527322,16.6531002,17.50822021,18.96769385
2,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SANDRASATY,19.76081598,19.58034757,19.03362033,17.58294739,14.8777809,13.72372808,13.15027488,13.35440512,14.21648229,16.08286446,17.95217241,19.28293709,19.56081574,19.20044255,18.90336446,17.88294788,15.53868671,13.77469977,13.1893686,13.05440539,14.01648199,16.69302374,17.85217208,19.88293747,20.09990991,20.02115823,19.7033637,17.98294826,14.13868673,12.6237283,12.38936818,13.15440531,14.116482,16.39302451,16.09126502,19.48293766,20.19991029,19.58034757,19.30336427,17.78294815,15.53868671,14.12372804,13.28936838,13.35440512,14.51648199,16.59302475,17.53207696,18.97300287
3,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIMITA,20.11616083,19.86745826,19.38631985,17.98151718,15.20691581,14.03921353,13.48299945,13.63125329,14.57300832,16.52341166,18.32609151,19.62564312,19.91616162,19.49510895,19.24089666,18.28151807,15.88118948,14.10360744,13.50872543,13.33125318,14.37300821,17.14118264,18.22609112,20.2256435,20.44188699,20.31408059,20.0408959,18.38151845,14.48118964,12.93921315,12.70872524,13.43125348,14.47300794,16.8411821,16.45181691,19.82564389,20.54188737,19.86745826,19.64089628,18.18151795,15.88118948,14.43921315,13.60872516,13.63125329,14.87300829,17.04118286,17.89843793,19.31576304
4,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANALAMARINA,20.11244441,19.89737383,19.37782325,17.9568684,15.21842982,14.04610292,13.50484317,13.65833132,14.5443807,16.45760285,18.25864308,19.59438668,19.91244381,19.51669506,19.24654877,18.25686944,15.88792667,14.10823102,13.53534554,13.35833147,14.34438009,17.06955461,18.1586427,20.19438706,20.44294679,20.34754866,20.04654801,18.35686982,14.48792672,12.94610275,12.73534519,13.45833151,14.44438044,16.76955531,16.38914448,19.79438733,20.54294717,19.89737383,19.64654849,18.15686916,15.88792667,14.44610269,13.63534561,13.65833132,14.84438039,16.9695557,17.83931978,19.28701785
5,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBALAFATAKANA EST,21.69237267,21.57451479,20.94394956,19.62944205,16.82093839,15.71705372,15.23480304,15.34906325,16.26501193,18.09103819,19.82051604,21.10106343,21.49237199,21.17451375,20.8394107,19.93121863,17.47889534,15.77954872,15.27230747,15.04906311,16.06501137,18.68926132,19.72051566,21.70106381,22.02987592,22.03700985,21.63940994,20.03121901,16.07889568,14.61705334,14.47230728,15.14906274,16.16501155,18.38649945,17.95801953,21.29652622,22.1298763,21.57629062,21.23941032,19.83121824,17.47889534,16.11705263,15.37684516,15.35083868,16.56678838,18.59103678,19.41597754,20.80106419
6,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBALAFARY,21.77082863,21.63742268,21.00375327,19.69032916,16.87730557,15.82227469,15.36343522,15.38576251,16.30288087,18.11459123,19.90011421,21.0849609,21.57082788,21.23742282,20.89526713,19.99265038,17.54348087,15.8969362,15.38877371,15.08576267,16.10288011,18.71226981,19.80011383,21.68496128,22.09616764,22.11208449,21.69526637,20.09265076,16.14348082,14.72227431,14.58877352,15.18576266,16.20288049,18.40610544,18.02545089,21.27647525,22.19616802,21.63974356,21.29526675,19.89265,17.54348087,16.22227427,15.49725917,15.38808324,16.60520017,18.61459116,19.49162635,20.78496166
7,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT MAROFOTOTRA,20.3978783,20.27231551,19.67432913,18.28220224,15.57678605,14.42184695,13.90547421,14.03208254,14.8809828,16.74987587,18.52322008,19.867057,20.19787771,19.87968523,19.5623507,18.58223273,16.24072366,14.48302394,13.94146044,13.73208258,14.68098226,17.35437959,18.4232197,20.46705706,20.73386417,20.72895841,20.36234993,18.68223311,14.8407239,13.32184666,13.14146025,13.83208256,14.78098248,17.05433454,16.65920466,20.06698259,20.83386455,20.27234487,19.96235031,18.48223235,16.24072366,14.82184656,14.04153543,14.03211189,15.18101164,17.2544095,18.1157729,19.5642203
8,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIMASINA,21.1082841,21.04030902,20.39136388,19.0192385,16.26948518,15.16366921,14.68125393,14.74166546,15.62348011,17.45262368,19.22286377,20.49280853,20.90828334,20.64218869,20.28589297,19.31994303,16.93779011,15.23368763,14.7106605,14.44166567,15.42347935,18.05322288,19.12286339,21.09280891,21.43768992,21.5090235,21.08589221,19.41994342,15.53779008,14.06366883,13.91066031,14.54166554,15.52347973,17.75163995,17.35226881,20.69052143,21.5376903,21.04101239,20.68589259,19.21994265,16.93779011,15.56366872,14.8129474,14.74236923,15.92418295,17.95392755,18.81869564,20.19223442
9,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT BEFARY,21.68997863,21.55253389,20.94496837,19.60456525,16.78398283,15.77218522,15.29416105,15.28288729,16.18984108,18.02914466,19.80597814,21.00208939,21.48997786,21.15253374,20.83718612,19.90585965,17.46088432,15.85686969,15.30947648,14.98288709,15.98984032,18.62785041,19.70597776,21.60208977,22.00529364,22.03721894,21.63718494,20.00586003,16.06088471,14.67218463,14.50947629,15.08288727,16.0898407,18.32136148,17.92129156,21.19430829,22.10529402,21.55382744,21.23718574,19.80585926,17.46088432,16.17218442,15.41725832,15.28418021,16.49113303,18.52914466,19.39819378,20.70209015
10,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBATOHARANANAKELY,21.54693872,21.37048904,20.76361521,19.4213946,16.61281692,15.61686826,15.12697749,15.11123974,15.99124124,17.86745478,19.63066412,20.84921448,21.34693805,20.9713812,20.65640906,19.72176655,17.30129408,15.71068746,15.13310818,14.81123737,15.79124081,18.4680077,19.53066249,21.44921366,21.85306913,21.86346634,21.45640687,19.82176694,15.901295,14.51686764,14.33318995,14.91123985,15.89124119,18.16290927,17.73679361,21.0438242,21.9530698,21.37086034,21.05640868,19.62176617,17.30129408,16.01686708,15.23849745,15.11161056,16.29161113,18.36830036,19.22430044,20.54916753
