OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,p_2014_01,p_2014_02,p_2014_03,p_2014_04,p_2014_05,p_2014_06,p_2014_07,p_2014_08,p_2014_09,p_2014_10,p_2014_11,p_2014_12,p_2015_01,p_2015_02,p_2015_03,p_2015_04,p_2015_05,p_2015_06,p_2015_07,p_2015_08,p_2015_09,p_2015_10,p_2015_11,p_2015_12,p_2016_01,p_2016_02,p_2016_03,p_2016_04,p_2016_05,p_2016_06,p_2016_07,p_2016_08,p_2016_09,p_2016_10,p_2016_11,p_2016_12,p_2017_01,p_2017_02,p_2017_03,p_2017_04,p_2017_05,p_2017_06,p_2017_07,p_2017_08,p_2017_09,p_2017_10,p_2017_11,p_2017_12
1,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANTARALAVA,380.3741075,263.2717468,344.058499,72.18103893,48.25990332,76.24998235,111.5112345,51.03282686,31.59959814,27.6985814,202.687675,239.5030752,370.6225506,367.5433039,274.2633041,79.22976467,98.23354207,60.8484607,50.43247866,90.22835515,34.27012353,46.23216557,157.6376142,324.8347986,391.3853811,251.9479955,424.5341125,86.82216171,68.35768537,142.2349735,51.40807483,45.83217636,29.89123215,35.72602122,87.54872063,160.2081738,241.2493237,316.6943994,402.6513774,157.5049509,45.55499954,79.56541392,151.9554101,145.2295781,94.1805373,46.53385469,214.6110029,385.7241746
2,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SANDRASATY,373.4090816,241.2387826,351.7635183,66.24026402,46.32771035,73.8219698,117.550978,48.49335084,29.59584861,24.16147638,224.6288946,238.4815413,362.9695568,356.2870554,269.3578445,70.99000487,100.7644316,58.54445151,47.11730518,95.66498948,33.33607509,49.53328796,156.2441412,330.3788109,384.2826632,225.9051241,437.1558538,80.41489182,70.42287847,144.9698826,48.76330413,44.28498544,27.83743831,33.35152406,78.70772722,145.7319949,219.8752727,287.1821342,416.0980168,162.1320716,45.06811687,79.63415566,161.3530923,157.6726577,96.26564273,49.79158133,238.2493042,395.2327283
3,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIMITA,387.5911394,257.3040487,358.2174988,67.68749272,45.00309545,74.90222862,115.984623,51.15644091,30.99443878,25.85918661,217.6176002,239.9999008,377.0163352,372.3280113,278.354402,73.36248571,95.75322931,59.40138175,48.5715547,96.94703119,34.40159486,48.92044397,158.0978151,330.5405773,398.9776861,243.2015977,444.4882272,81.90467349,66.61808812,144.5183168,49.94889537,46.37214106,29.23080332,34.78773221,82.56215772,151.9416337,234.585255,308.2450603,421.9851976,159.0150833,43.20729342,79.71349127,158.9616311,158.5417952,97.98532729,49.20229305,230.7969631,394.7518089
4,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANALAMARINA,386.194465,257.198371,362.4204978,70.50221497,48.42301221,77.82992361,122.1788473,52.44977837,31.82426438,25.75974656,221.1782155,240.0844317,375.748406,373.1637219,281.0661616,75.99015904,102.7954479,62.04893332,50.97031219,99.9003761,35.43256985,49.63576502,158.4930997,329.643275,397.27875,242.2381725,448.8039274,85.24249118,72.01581321,150.2294208,52.51660639,47.72391838,29.98454799,34.72206805,82.66497835,150.9391758,232.9965439,306.2789451,427.281153,165.8209928,46.78057126,83.26188197,167.1833448,163.3064004,100.11039,49.90752685,234.3365355,393.0047344
5,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBALAFATAKANA EST,383.6921493,270.2613467,382.150522,71.32755762,47.75825574,79.3528729,135.2160712,60.80497072,35.63176882,29.48670317,230.4421041,220.1744295,373.7258647,391.9583639,296.4537826,75.77284999,99.40452268,64.3587193,56.87370872,115.5576667,39.80798027,58.12475472,161.1547947,298.2768263,393.8811569,252.6318452,469.6128088,85.73443932,71.14935762,151.8883236,58.80688995,55.88225218,33.53008795,39.5141225,85.33492707,137.7327871,232.0602719,316.2723853,450.6852441,164.8995558,46.80067673,85.7825999,183.7139544,187.7985642,108.5533439,58.4032877,243.333304,353.180543
6,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBALAFARY,385.8956546,278.9550441,383.6589845,75.00174654,49.89460191,80.00237335,134.5292389,64.03296312,37.70684603,31.91441447,229.2066105,218.7878794,376.2299594,397.1880694,301.5892611,80.00128568,100.9288282,65.31964207,59.11645033,117.261449,41.66191357,59.2080223,165.1102414,293.4606534,395.9574876,262.338821,469.3130832,89.54405293,72.57251096,150.0625748,60.85449952,58.76238759,35.58954527,41.78475627,90.81122116,141.1691727,239.5170713,326.1989526,450.3894377,166.0500038,48.61178789,85.79395887,181.9779637,188.4996511,110.4580397,59.50266443,241.7299911,346.1095652
7,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT MAROFOTOTRA,386.495467,261.6081805,369.565833,73.11056396,50.9681115,82.21294705,130.3751251,54.81201053,32.9535685,26.21859878,224.9111669,237.7884595,376.2427365,379.8170409,286.4692153,78.25535586,107.353033,66.09089895,54.47680356,104.5054675,36.776236,51.25454649,158.9895061,324.4173593,397.1727212,245.3539918,456.0097778,88.23555065,75.97949252,158.2995366,56.24223199,50.11026646,31.01268195,35.27645644,83.35153181,148.8420384,233.1443849,308.8264501,435.9703168,170.9454584,49.59855944,88.47157192,177.8702189,170.4870021,102.3008078,51.51701639,237.8892961,385.5102241
8,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIMASINA,391.6471651,276.0995522,381.14066,76.60206329,51.69568246,83.51646477,135.3417256,60.07583585,35.61328049,29.19671075,226.0930459,230.1112225,381.6226122,395.5320793,298.2945201,82.01666143,106.3114554,67.71087812,58.43546711,111.5033987,39.45300825,54.8705465,162.4574097,310.7704221,402.139663,259.6086543,468.0315242,91.96781607,75.81386676,158.3258992,60.1813301,54.95207727,33.56468056,38.57013987,87.76996706,147.0515046,240.7888923,324.551201,448.336113,173.0746618,50.2410409,89.57063354,183.85379,180.370383,106.8601173,55.15137999,238.7445091,367.693761
9,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT BEFARY,386.9584663,286.0950376,384.8598488,79.56894261,53.24996347,81.71326622,134.5500194,65.7236497,38.47099636,33.0975154,223.8577438,219.0342411,377.526184,400.7893208,306.0639859,85.43694632,105.5904908,66.89935119,61.29835422,116.6478734,42.08342473,58.03544104,166.3919836,291.8637957,397.020667,270.7645308,469.5932122,94.69681579,75.89177019,150.992485,62.82413974,60.08668931,36.3867195,42.55299638,94.12976309,145.1251918,245.4453914,335.4052793,450.1229314,170.5063707,51.48047547,86.88901886,181.6503335,186.0248563,109.7690947,58.34201932,235.9498828,343.4244344
10,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBATOHARANANAKELY,388.5160103,291.4012014,382.3834502,81.32313099,53.92480212,81.06559222,131.7686726,65.94527244,38.87934746,33.68643217,218.3322519,221.5589708,379.2615876,402.3101952,307.2707954,87.95369379,105.3293036,66.42766044,61.90008268,113.8704233,42.14151744,56.10724353,167.3450912,293.8329753,398.6503405,277.4322831,465.8663306,96.68031317,75.51564566,148.0237982,63.18494875,60.00630893,36.82361224,42.6673421,96.75844516,150.1136942,251.0565961,342.917068,445.9174472,169.7712114,51.70767115,85.47901622,177.7431468,180.4647394,108.7919137,56.42342137,230.046998,345.211551
