OBJEC,LIB_P,LIB_R,LIB_D,LIB_C,LIB_F,p_2014_01,p_2014_02,p_2014_03,p_2014_04,p_2014_05,p_2014_06,p_2014_07,p_2014_08,p_2014_09,p_2014_10,p_2014_11,p_2014_12,p_2015_01,p_2015_02,p_2015_03,p_2015_04,p_2015_05,p_2015_06,p_2015_07,p_2015_08,p_2015_09,p_2015_10,p_2015_11,p_2015_12,p_2016_01,p_2016_02,p_2016_03,p_2016_04,p_2016_05,p_2016_06,p_2016_07,p_2016_08,p_2016_09,p_2016_10,p_2016_11,p_2016_12,p_2017_01,p_2017_02,p_2017_03,p_2017_04,p_2017_05,p_2017_06,p_2017_07,p_2017_08,p_2017_09,p_2017_10,p_2017_11,p_2017_12,tmx_2014_0,tmx_2014_1,tmx_2014_2,tmx_2014_3,tmx_2014_4,tmx_2014_5,tmx_2014_6,tmx_2014_7,tmx_2014_8,tmx_2014_9,tmx_201410,tmx_201411,tmx_2015_0,tmx_2015_1,tmx_2015_2,tmx_2015_3,tmx_2015_4,tmx_2015_5,tmx_2015_6,tmx_2015_7,tmx_2015_8,tmx_2015_9,tmx_201510,tmx_201511,tmx_2016_0,tmx_2016_1,tmx_2016_2,tmx_2016_3,tmx_2016_4,tmx_2016_5,tmx_2016_6,tmx_2016_7,tmx_2016_8,tmx_2016_9,tmx_201610,tmx_201611,tmx_2017_0,tmx_2017_1,tmx_2017_2,tmx_2017_3,tmx_2017_4,tmx_2017_5,tmx_2017_6,tmx_2017_7,tmx_2017_8,tmx_2017_9,tmx_201710,tmx_201711,tmn_2014_0,tmn_2014_1,tmn_2014_2,tmn_2014_3,tmn_2014_4,tmn_2014_5,tmn_2014_6,tmn_2014_7,tmn_2014_8,tmn_2014_9,tmn_201410,tmn_201411,tmn_2015_0,tmn_2015_1,tmn_2015_2,tmn_2015_3,tmn_2015_4,tmn_2015_5,tmn_2015_6,tmn_2015_7,tmn_2015_8,tmn_2015_9,tmn_201510,tmn_201511,tmn_2016_0,tmn_2016_1,tmn_2016_2,tmn_2016_3,tmn_2016_4,tmn_2016_5,tmn_2016_6,tmn_2016_7,tmn_2016_8,tmn_2016_9,tmn_201610,tmn_201611,tmn_2017_0,tmn_2017_1,tmn_2017_2,tmn_2017_3,tmn_2017_4,tmn_2017_5,tmn_2017_6,tmn_2017_7,tmn_2017_8,tmn_2017_9,tmn_201710,tmn_201711
1,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANTARALAVA,380.3741075,263.2717468,344.058499,72.18103893,48.25990332,76.24998235,111.5112345,51.03282686,31.59959814,27.6985814,202.687675,239.5030752,370.6225506,367.5433039,274.2633041,79.22976467,98.23354207,60.8484607,50.43247866,90.22835515,34.27012353,46.23216557,157.6376142,324.8347986,391.3853811,251.9479955,424.5341125,86.82216171,68.35768537,142.2349735,51.40807483,45.83217636,29.89123215,35.72602122,87.54872063,160.2081738,241.2493237,316.6943994,402.6513774,157.5049509,45.55499954,79.56541392,151.9554101,145.2295781,94.1805373,46.53385469,214.6110029,385.7241746,28.32570975,28.29505317,27.87045866,26.98001687,25.12456424,23.88011484,22.93950928,23.32221974,24.68145179,26.52714669,28.03767459,28.61197626,28.12570899,27.92859683,27.70756647,27.28001701,25.81625707,23.96761636,22.94781631,23.02222051,24.48145193,27.1564966,27.93767421,29.21197574,28.63401602,28.75320388,28.50756571,27.38001739,24.41625645,22.78011446,22.14781707,23.12222089,24.58145231,26.85649546,26.14598099,28.81197612,28.7340164,28.29505317,28.10756609,27.18001663,25.81625707,24.28011446,23.04781669,23.32221974,24.98145193,27.05649622,27.6041317,28.30778329,19.82461395,19.48615982,19.02346469,17.53592734,14.82700006,13.69935629,13.10905132,13.24356103,14.18527348,16.12374976,17.94176311,19.27188592,19.62461419,19.11970347,18.86057241,17.83592748,15.51869239,13.78685591,13.11735834,12.94356134,13.98527322,16.75309968,17.84176363,19.8718863,20.13292122,19.94430952,19.66057165,17.93592787,14.11869227,12.59935591,12.31735815,13.04356122,14.0852736,16.45309994,16.05007001,19.47188668,20.2329216,19.48615982,19.26057203,17.7359281,15.51869239,14.09935591,13.21735822,13.24356103,14.48527322,16.6531002,17.50822021,18.96769385
2,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT SANDRASATY,373.4090816,241.2387826,351.7635183,66.24026402,46.32771035,73.8219698,117.550978,48.49335084,29.59584861,24.16147638,224.6288946,238.4815413,362.9695568,356.2870554,269.3578445,70.99000487,100.7644316,58.54445151,47.11730518,95.66498948,33.33607509,49.53328796,156.2441412,330.3788109,384.2826632,225.9051241,437.1558538,80.41489182,70.42287847,144.9698826,48.76330413,44.28498544,27.83743831,33.35152406,78.70772722,145.7319949,219.8752727,287.1821342,416.0980168,162.1320716,45.06811687,79.63415566,161.3530923,157.6726577,96.26564273,49.79158133,238.2493042,395.2327283,28.42107206,28.40164369,27.90139034,27.07412223,25.27826573,23.97203145,22.97395374,23.28984096,24.66835086,26.7144483,28.28738887,28.81423303,28.22107129,28.0217399,27.77113539,27.37412272,25.93917205,24.02300242,23.01304745,22.98984127,24.46835075,27.32460907,28.18738849,29.41423264,28.76016579,28.84245481,28.57113463,27.4741231,24.53917145,22.87203107,22.21304682,23.08984165,24.56835067,27.02460886,26.42648137,29.01423302,28.86016617,28.40164369,28.17113501,27.27412234,25.93917205,24.37203107,23.11304644,23.28984096,24.96835075,27.22460869,27.86729342,28.50429816,19.76081598,19.58034757,19.03362033,17.58294739,14.8777809,13.72372808,13.15027488,13.35440512,14.21648229,16.08286446,17.95217241,19.28293709,19.56081574,19.20044255,18.90336446,17.88294788,15.53868671,13.77469977,13.1893686,13.05440539,14.01648199,16.69302374,17.85217208,19.88293747,20.09990991,20.02115823,19.7033637,17.98294826,14.13868673,12.6237283,12.38936818,13.15440531,14.116482,16.39302451,16.09126502,19.48293766,20.19991029,19.58034757,19.30336427,17.78294815,15.53868671,14.12372804,13.28936838,13.35440512,14.51648199,16.59302475,17.53207696,18.97300287
3,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIMITA,387.5911394,257.3040487,358.2174988,67.68749272,45.00309545,74.90222862,115.984623,51.15644091,30.99443878,25.85918661,217.6176002,239.9999008,377.0163352,372.3280113,278.354402,73.36248571,95.75322931,59.40138175,48.5715547,96.94703119,34.40159486,48.92044397,158.0978151,330.5405773,398.9776861,243.2015977,444.4882272,81.90467349,66.61808812,144.5183168,49.94889537,46.37214106,29.23080332,34.78773221,82.56215772,151.9416337,234.585255,308.2450603,421.9851976,159.0150833,43.20729342,79.71349127,158.9616311,158.5417952,97.98532729,49.20229305,230.7969631,394.7518089,28.76416068,28.75727627,28.26486258,27.43697244,25.63418891,24.38921278,23.45318179,23.7941618,25.10937084,27.044502,28.56372495,29.1343708,28.56415991,28.38492723,28.11943956,27.73697168,26.30846292,24.45360687,23.47890741,23.49416256,24.90937155,27.66227315,28.46372587,29.73436988,29.08988641,29.20389886,28.9194388,27.83697206,24.9084614,23.2892124,22.678908,23.59416294,25.00937193,27.36227365,26.68945226,29.33437027,29.18988679,28.75727627,28.51943918,27.63697277,26.30846292,24.7892124,23.57890762,23.7941618,25.40937181,27.56227277,28.13607329,28.82449046,20.11616083,19.86745826,19.38631985,17.98151718,15.20691581,14.03921353,13.48299945,13.63125329,14.57300832,16.52341166,18.32609151,19.62564312,19.91616162,19.49510895,19.24089666,18.28151807,15.88118948,14.10360744,13.50872543,13.33125318,14.37300821,17.14118264,18.22609112,20.2256435,20.44188699,20.31408059,20.0408959,18.38151845,14.48118964,12.93921315,12.70872524,13.43125348,14.47300794,16.8411821,16.45181691,19.82564389,20.54188737,19.86745826,19.64089628,18.18151795,15.88118948,14.43921315,13.60872516,13.63125329,14.87300829,17.04118286,17.89843793,19.31576304
4,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT ANALAMARINA,386.194465,257.198371,362.4204978,70.50221497,48.42301221,77.82992361,122.1788473,52.44977837,31.82426438,25.75974656,221.1782155,240.0844317,375.748406,373.1637219,281.0661616,75.99015904,102.7954479,62.04893332,50.97031219,99.9003761,35.43256985,49.63576502,158.4930997,329.643275,397.27875,242.2381725,448.8039274,85.24249118,72.01581321,150.2294208,52.51660639,47.72391838,29.98454799,34.72206805,82.66497835,150.9391758,232.9965439,306.2789451,427.281153,165.8209928,46.78057126,83.26188197,167.1833448,163.3064004,100.11039,49.90752685,234.3365355,393.0047344,28.68317987,28.66563164,28.14204966,27.32677926,25.52849584,24.2691833,23.3084596,23.63193425,24.94322492,26.88592471,28.44393702,29.0488636,28.4831791,28.2849534,28.01077547,27.62677892,26.19799418,24.33131167,23.33896239,23.3319343,24.74322535,27.49787733,28.3439367,29.64886331,29.01368153,29.11580678,28.81077471,27.7267793,24.79799289,23.16918292,22.53896236,23.43193468,24.84322541,27.19787751,26.57443966,29.24886369,29.11368191,28.66563164,28.41077509,27.52677947,26.19799418,24.66918292,23.43896197,23.63193425,25.24322535,27.39787695,28.02461496,28.74149466,20.11244441,19.89737383,19.37782325,17.9568684,15.21842982,14.04610292,13.50484317,13.65833132,14.5443807,16.45760285,18.25864308,19.59438668,19.91244381,19.51669506,19.24654877,18.25686944,15.88792667,14.10823102,13.53534554,13.35833147,14.34438009,17.06955461,18.1586427,20.19438706,20.44294679,20.34754866,20.04654801,18.35686982,14.48792672,12.94610275,12.73534519,13.45833151,14.44438044,16.76955531,16.38914448,19.79438733,20.54294717,19.89737383,19.64654849,18.15686916,15.88792667,14.44610269,13.63534561,13.65833132,14.84438039,16.9695557,17.83931978,19.28701785
5,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBALAFATAKANA EST,383.6921493,270.2613467,382.150522,71.32755762,47.75825574,79.3528729,135.2160712,60.80497072,35.63176882,29.48670317,230.4421041,220.1744295,373.7258647,391.9583639,296.4537826,75.77284999,99.40452268,64.3587193,56.87370872,115.5576667,39.80798027,58.12475472,161.1547947,298.2768263,393.8811569,252.6318452,469.6128088,85.73443932,71.14935762,151.8883236,58.80688995,55.88225218,33.53008795,39.5141225,85.33492707,137.7327871,232.0602719,316.2723853,450.6852441,164.8995558,46.80067673,85.7825999,183.7139544,187.7985642,108.5533439,58.4032877,243.333304,353.180543,30.0137617,29.98518454,29.44094396,28.70878919,26.92937613,25.75559284,24.87617971,25.12575073,26.2911477,27.997826,29.53626668,30.36365165,29.81376094,29.58518492,29.33640551,29.01056426,27.5873345,25.81808962,24.91368505,24.82575108,26.09114884,28.59605062,29.4362663,30.96365204,30.35126495,30.4476796,30.13640625,29.11056464,26.1873348,24.65559246,24.11368399,24.92575138,26.19114922,28.29328867,27.67377058,30.55911395,30.45126533,29.98696037,29.73640513,28.91056388,27.5873345,26.15559246,25.01822208,25.12752616,26.59292419,28.497826,29.13172859,30.06365242,21.69237267,21.57451479,20.94394956,19.62944205,16.82093839,15.71705372,15.23480304,15.34906325,16.26501193,18.09103819,19.82051604,21.10106343,21.49237199,21.17451375,20.8394107,19.93121863,17.47889534,15.77954872,15.27230747,15.04906311,16.06501137,18.68926132,19.72051566,21.70106381,22.02987592,22.03700985,21.63940994,20.03121901,16.07889568,14.61705334,14.47230728,15.14906274,16.16501155,18.38649945,17.95801953,21.29652622,22.1298763,21.57629062,21.23941032,19.83121824,17.47889534,16.11705263,15.37684516,15.35083868,16.56678838,18.59103678,19.41597754,20.80106419
6,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBALAFARY,385.8956546,278.9550441,383.6589845,75.00174654,49.89460191,80.00237335,134.5292389,64.03296312,37.70684603,31.91441447,229.2066105,218.7878794,376.2299594,397.1880694,301.5892611,80.00128568,100.9288282,65.31964207,59.11645033,117.261449,41.66191357,59.2080223,165.1102414,293.4606534,395.9574876,262.338821,469.3130832,89.54405293,72.57251096,150.0625748,60.85449952,58.76238759,35.58954527,41.78475627,90.81122116,141.1691727,239.5170713,326.1989526,450.3894377,166.0500038,48.61178789,85.79395887,181.9779637,188.4996511,110.4580397,59.50266443,241.7299911,346.1095652,29.96133337,29.92673966,29.37902014,28.66100406,26.88876015,25.70164834,24.87336992,25.0870061,26.2101644,27.86654144,29.3716002,30.28630219,29.76133261,29.52674004,29.27053413,28.96332408,27.55493637,25.77630894,24.89870811,24.78700643,26.01016554,28.46422176,29.27159982,30.88630145,30.28667239,30.40140148,30.07053346,29.06332446,26.15493492,24.60164795,24.0987088,24.88700679,26.11016592,28.15805582,27.49693852,30.47781635,30.38667277,29.92906054,29.67053375,28.86332437,27.55493637,26.10164795,25.00719417,25.08932672,26.51248543,28.36654144,28.96311398,29.98630183,21.77082863,21.63742268,21.00375327,19.69032916,16.87730557,15.82227469,15.36343522,15.38576251,16.30288087,18.11459123,19.90011421,21.0849609,21.57082788,21.23742282,20.89526713,19.99265038,17.54348087,15.8969362,15.38877371,15.08576267,16.10288011,18.71226981,19.80011383,21.68496128,22.09616764,22.11208449,21.69526637,20.09265076,16.14348082,14.72227431,14.58877352,15.18576266,16.20288049,18.40610544,18.02545089,21.27647525,22.19616802,21.63974356,21.29526675,19.89265,17.54348087,16.22227427,15.49725917,15.38808324,16.60520017,18.61459116,19.49162635,20.78496166
7,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT MAROFOTOTRA,386.495467,261.6081805,369.565833,73.11056396,50.9681115,82.21294705,130.3751251,54.81201053,32.9535685,26.21859878,224.9111669,237.7884595,376.2427365,379.8170409,286.4692153,78.25535586,107.353033,66.09089895,54.47680356,104.5054675,36.776236,51.25454649,158.9895061,324.4173593,397.1727212,245.3539918,456.0097778,88.23555065,75.97949252,158.2995366,56.24223199,50.11026646,31.01268195,35.27645644,83.35153181,148.8420384,233.1443849,308.8264501,435.9703168,170.9454584,49.59855944,88.47157192,177.8702189,170.4870021,102.3008078,51.51701639,237.8892961,385.5102241,28.83529886,28.79176142,28.25436917,27.4627482,25.66445635,24.42696525,23.4538712,23.73773695,25.01740556,26.89456518,28.50538337,29.17862493,28.6352981,28.39913133,28.14238982,27.76277703,26.32839591,24.48814178,23.48985766,23.43773632,24.81740622,27.49906943,28.40538298,29.77862424,29.17128472,29.24840432,28.94238909,27.86277741,24.92839486,23.32696487,22.68985744,23.53773671,24.9174066,27.19902286,26.64136923,29.37854945,29.2712851,28.79179078,28.54238944,27.66277785,26.32839591,24.82696487,23.58993223,23.73776631,25.31743557,27.39909841,28.09793746,28.87578823,20.3978783,20.27231551,19.67432913,18.28220224,15.57678605,14.42184695,13.90547421,14.03208254,14.8809828,16.74987587,18.52322008,19.867057,20.19787771,19.87968523,19.5623507,18.58223273,16.24072366,14.48302394,13.94146044,13.73208258,14.68098226,17.35437959,18.4232197,20.46705706,20.73386417,20.72895841,20.36234993,18.68223311,14.8407239,13.32184666,13.14146025,13.83208256,14.78098248,17.05433454,16.65920466,20.06698259,20.83386455,20.27234487,19.96235031,18.48223235,16.24072366,14.82184656,14.04153543,14.03211189,15.18101164,17.2544095,18.1157729,19.5642203
8,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBOHIMASINA,391.6471651,276.0995522,381.14066,76.60206329,51.69568246,83.51646477,135.3417256,60.07583585,35.61328049,29.19671075,226.0930459,230.1112225,381.6226122,395.5320793,298.2945201,82.01666143,106.3114554,67.71087812,58.43546711,111.5033987,39.45300825,54.8705465,162.4574097,310.7704221,402.139663,259.6086543,468.0315242,91.96781607,75.81386676,158.3258992,60.1813301,54.95207727,33.56468056,38.57013987,87.76996706,147.0515046,240.7888923,324.551201,448.336113,173.0746618,50.2410409,89.57063354,183.85379,180.370383,106.8601173,55.15137999,238.7445091,367.693761,29.47632988,29.39913387,28.85058891,28.11578551,26.32454599,25.13303539,24.22498023,24.47618009,25.66787062,27.4251875,28.98567711,29.78660292,29.27632912,29.00101378,28.74511703,28.41648885,26.99285326,25.20305361,24.25438679,24.17617997,25.46787177,28.02578844,28.88567673,30.38660248,29.8057357,29.86784835,29.54511649,28.51648923,25.59285196,24.03303501,23.45438733,24.27618035,25.56787215,27.72420453,27.11508381,29.9843158,29.90573608,29.39983724,29.14511665,28.31648942,26.99285326,25.53303501,24.35667401,24.47688346,25.96857514,27.92649144,28.58151065,29.48602798,21.1082841,21.04030902,20.39136388,19.0192385,16.26948518,15.16366921,14.68125393,14.74166546,15.62348011,17.45262368,19.22286377,20.49280853,20.90828334,20.64218869,20.28589297,19.31994303,16.93779011,15.23368763,14.7106605,14.44166567,15.42347935,18.05322288,19.12286339,21.09280891,21.43768992,21.5090235,21.08589221,19.41994342,15.53779008,14.06366883,13.91066031,14.54166554,15.52347973,17.75163995,17.35226881,20.69052143,21.5376903,21.04101239,20.68589259,19.21994265,16.93779011,15.56366872,14.8129474,14.74236923,15.92418295,17.95392755,18.81869564,20.19223442
9,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT BEFARY,386.9584663,286.0950376,384.8598488,79.56894261,53.24996347,81.71326622,134.5500194,65.7236497,38.47099636,33.0975154,223.8577438,219.0342411,377.526184,400.7893208,306.0639859,85.43694632,105.5904908,66.89935119,61.29835422,116.6478734,42.08342473,58.03544104,166.3919836,291.8637957,397.020667,270.7645308,469.5932122,94.69681579,75.89177019,150.992485,62.82413974,60.08668931,36.3867195,42.55299638,94.12976309,145.1251918,245.4453914,335.4052793,450.1229314,170.5063707,51.48047547,86.88901886,181.6503335,186.0248563,109.7690947,58.34201932,235.9498828,343.4244344,29.79738809,29.76300975,29.19940595,28.48640578,26.7077578,25.50948441,24.70229691,24.90285588,25.9952026,27.6140585,29.15583734,30.08184149,29.59738733,29.36301013,29.09162359,28.78769827,27.38466079,25.59416847,24.71761241,24.6028557,25.79520375,28.21276521,29.05583695,30.68183996,30.1127031,30.2476948,29.89162282,28.88769865,25.98465926,24.40948403,23.91761317,24.70285608,25.89520413,27.90627479,27.27115213,30.27405792,30.21270349,29.7643033,29.4916232,28.68769831,27.38466079,25.90948403,24.82539508,24.9041486,26.29649647,28.1140585,28.74805435,29.78184034,21.68997863,21.55253389,20.94496837,19.60456525,16.78398283,15.77218522,15.29416105,15.28288729,16.18984108,18.02914466,19.80597814,21.00208939,21.48997786,21.15253374,20.83718612,19.90585965,17.46088432,15.85686969,15.30947648,14.98288709,15.98984032,18.62785041,19.70597776,21.60208977,22.00529364,22.03721894,21.63718494,20.00586003,16.06088471,14.67218463,14.50947629,15.08288727,16.0898407,18.32136148,17.92129156,21.19430829,22.10529402,21.55382744,21.23718574,19.80585926,17.46088432,16.17218442,15.41725832,15.28418021,16.49113303,18.52914466,19.39819378,20.70209015
10,FIANARANTSOA,VATOVAVY FITOVINANY,IFANADIANA,TSARATANANA,FKT AMBATOHARANANAKELY,388.5160103,291.4012014,382.3834502,81.32313099,53.92480212,81.06559222,131.7686726,65.94527244,38.87934746,33.68643217,218.3322519,221.5589708,379.2615876,402.3101952,307.2707954,87.95369379,105.3293036,66.42766044,61.90008268,113.8704233,42.14151744,56.10724353,167.3450912,293.8329753,398.6503405,277.4322831,465.8663306,96.68031317,75.51564566,148.0237982,63.18494875,60.00630893,36.82361224,42.6673421,96.75844516,150.1136942,251.0565961,342.917068,445.9174472,169.7712114,51.70767115,85.47901622,177.7431468,180.4647394,108.7919137,56.42342137,230.046998,345.211551,29.63339866,29.57949255,28.99903778,28.24867679,26.45826861,25.25362228,24.43601735,24.63996908,25.73504262,27.34388482,28.9388895,29.86448155,29.4333979,29.1803847,28.89183166,28.54904684,27.14674754,25.34744127,24.44214793,24.33996764,25.53504377,27.94443949,28.83888785,30.46447875,29.93952905,30.07246985,29.69182962,28.64904723,25.74674608,24.15362189,23.64223047,24.43997021,25.63504415,27.63933918,27.04502055,30.05908886,30.03952943,29.57986385,29.29183125,28.44904728,27.14674754,25.65362189,24.54753822,24.64033989,26.03541458,27.84473049,28.53252738,29.56443268,21.54693872,21.37048904,20.76361521,19.4213946,16.61281692,15.61686826,15.12697749,15.11123974,15.99124124,17.86745478,19.63066412,20.84921448,21.34693805,20.9713812,20.65640906,19.72176655,17.30129408,15.71068746,15.13310818,14.81123737,15.79124081,18.4680077,19.53066249,21.44921366,21.85306913,21.86346634,21.45640687,19.82176694,15.901295,14.51686764,14.33318995,14.91123985,15.89124119,18.16290927,17.73679361,21.0438242,21.9530698,21.37086034,21.05640868,19.62176617,17.30129408,16.01686708,15.23849745,15.11161056,16.29161113,18.36830036,19.22430044,20.54916753
