"","OBJEC","LIB_F","Date","Precipitation"
"1",0,"FKT ANTARALAVA","p_2014_01",380.3741075
"2",1,"FKT SANDRASATY","p_2014_01",373.4090816
"3",2,"FKT AMBOHIMITA","p_2014_01",387.5911394
"4",3,"FKT ANALAMARINA","p_2014_01",386.194465
"5",4,"FKT AMBALAFATAKANA EST","p_2014_01",383.6921493
"6",5,"FKT AMBALAFARY","p_2014_01",385.8956546
"7",6,"FKT MAROFOTOTRA","p_2014_01",386.495467
"8",7,"FKT AMBOHIMASINA","p_2014_01",391.6471651
"9",8,"FKT BEFARY","p_2014_01",386.9584663
"10",9,"FKT AMBATOHARANANAKELY","p_2014_01",388.5160103
"11",10,"FKT AMBODIRAFIA EST","p_2014_01",395.5328482
"12",11,"FKT AMBATOHARANANA","p_2014_01",399.7173964
"13",12,"FKT SANDRAKELY","p_2014_01",399.1651661
"14",13,"FKT AMBOHINIHAONANA","p_2014_01",396.3773153
"15",14,"FKT AMBODIMANGA EST","p_2014_01",406.260327
"16",15,"FKT AMBOHITSARA I","p_2014_01",403.1923735
"17",16,"FKT SAHOFIKA","p_2014_01",407.928874
"18",17,"FKT ANDRORANGAVOLA VATOFOTSY","p_2014_01",373.110217
"19",18,"FKT TSARATANANA","p_2014_01",402.5031397
"20",19,"FKT AMBODIGOAVY","p_2014_01",403.5418382
"21",20,"FKT AMBODIMANGA OUEST","p_2014_01",386.5515675
"22",21,"FKT VOHITRARIVO","p_2014_01",394.0982424
"23",22,"FKT AMBOHIPO","p_2014_01",363.9716746
"24",23,"FKT RANOMAFANA","p_2014_01",298.1396202
"25",24,"FKT AMBATOLAHY","p_2014_01",283.9801308
"26",25,"FKT TSARAMANDROSO","p_2014_01",336.2999307
"27",26,"FKT VOHIMARINA","p_2014_01",354.7602481
"28",27,"FKT MENARANO","p_2014_01",344.6936077
"29",28,"FKT AMBODIAVIAVY","p_2014_01",360.2670231
"30",29,"FKT AMPASIMPOTSY","p_2014_01",356.3722378
"31",30,"FKT SAHANDRAZANA","p_2014_01",363.7229995
"32",31,"FKT MAROTOKO","p_2014_01",368.5980125
"33",32,"FKT AMBALAVIA","p_2014_01",376.8377486
"34",33,"FKT AMBATOMITRATRAKA","p_2014_01",368.8500974
"35",34,"FKT AMBARIJATSY","p_2014_01",374.681249
"36",35,"FKT AMBOHIMAHAVELONA","p_2014_01",369.703295
"37",36,"FKT AMBOATROTROKA","p_2014_01",369.9230018
"38",37,"FKT MANDIAFASINA","p_2014_01",372.4041069
"39",38,"FKT AMBODIARA SUD","p_2014_01",367.9917154
