"","OBJEC","LIB_F","Date","maxT"
"1",0,"FKT ANTARALAVA","tmx_2014_0",28.32570975
"2",1,"FKT SANDRASATY","tmx_2014_0",28.42107206
"3",2,"FKT AMBOHIMITA","tmx_2014_0",28.76416068
"4",3,"FKT ANALAMARINA","tmx_2014_0",28.68317987
"5",4,"FKT AMBALAFATAKANA EST","tmx_2014_0",30.0137617
"6",5,"FKT AMBALAFARY","tmx_2014_0",29.96133337
"7",6,"FKT MAROFOTOTRA","tmx_2014_0",28.83529886
"8",7,"FKT AMBOHIMASINA","tmx_2014_0",29.47632988
"9",8,"FKT BEFARY","tmx_2014_0",29.79738809
"10",9,"FKT AMBATOHARANANAKELY","tmx_2014_0",29.63339866
"11",10,"FKT AMBODIRAFIA EST","tmx_2014_0",29.18850169
"12",11,"FKT AMBATOHARANANA","tmx_2014_0",28.977497
"13",12,"FKT SANDRAKELY","tmx_2014_0",28.83903563
"14",13,"FKT AMBOHINIHAONANA","tmx_2014_0",28.73629225
"15",14,"FKT AMBODIMANGA EST","tmx_2014_0",28.98648571
"16",15,"FKT AMBOHITSARA I","tmx_2014_0",28.82618924
"17",16,"FKT SAHOFIKA","tmx_2014_0",28.93442027
"18",17,"FKT ANDRORANGAVOLA VATOFOTSY","tmx_2014_0",28.10186481
"19",18,"FKT TSARATANANA","tmx_2014_0",28.87298133
"20",19,"FKT AMBODIGOAVY","tmx_2014_0",28.9479482
"21",20,"FKT AMBODIMANGA OUEST","tmx_2014_0",28.40293146
"22",21,"FKT VOHITRARIVO","tmx_2014_0",28.64770304
"23",22,"FKT AMBOHIPO","tmx_2014_0",27.81578573
"24",23,"FKT RANOMAFANA","tmx_2014_0",26.0202703
"25",24,"FKT AMBATOLAHY","tmx_2014_0",25.65648164
"26",25,"FKT TSARAMANDROSO","tmx_2014_0",26.97288709
"27",26,"FKT VOHIMARINA","tmx_2014_0",27.81313729
"28",27,"FKT MENARANO","tmx_2014_0",27.48891664
"29",28,"FKT AMBODIAVIAVY","tmx_2014_0",27.95035666
"30",29,"FKT AMPASIMPOTSY","tmx_2014_0",27.86024696
"31",30,"FKT SAHANDRAZANA","tmx_2014_0",28.24194952
"32",31,"FKT MAROTOKO","tmx_2014_0",29.57589409
"33",32,"FKT AMBALAVIA","tmx_2014_0",29.43456037
"34",33,"FKT AMBATOMITRATRAKA","tmx_2014_0",29.41459777
"35",34,"FKT AMBARIJATSY","tmx_2014_0",29.52505608
"36",35,"FKT AMBOHIMAHAVELONA","tmx_2014_0",29.66922697
