"","OBJEC","LIB_F","Date","minT"
"1",0,"FKT ANTARALAVA","tmn_2014_0",19.82461395
"2",1,"FKT SANDRASATY","tmn_2014_0",19.76081598
"3",2,"FKT AMBOHIMITA","tmn_2014_0",20.11616083
"4",3,"FKT ANALAMARINA","tmn_2014_0",20.11244441
"5",4,"FKT AMBALAFATAKANA EST","tmn_2014_0",21.69237267
"6",5,"FKT AMBALAFARY","tmn_2014_0",21.77082863
"7",6,"FKT MAROFOTOTRA","tmn_2014_0",20.3978783
"8",7,"FKT AMBOHIMASINA","tmn_2014_0",21.1082841
"9",8,"FKT BEFARY","tmn_2014_0",21.68997863
"10",9,"FKT AMBATOHARANANAKELY","tmn_2014_0",21.54693872
"11",10,"FKT AMBODIRAFIA EST","tmn_2014_0",20.81861783
"12",11,"FKT AMBATOHARANANA","tmn_2014_0",20.62908142
"13",12,"FKT SANDRAKELY","tmn_2014_0",20.3517227
"14",13,"FKT AMBOHINIHAONANA","tmn_2014_0",20.3164517
"15",14,"FKT AMBODIMANGA EST","tmn_2014_0",20.67676817
"16",15,"FKT AMBOHITSARA I","tmn_2014_0",20.4178148
"17",16,"FKT SAHOFIKA","tmn_2014_0",20.50839188
"18",17,"FKT ANDRORANGAVOLA VATOFOTSY","tmn_2014_0",19.62611979
"19",18,"FKT TSARATANANA","tmn_2014_0",20.38942245
"20",19,"FKT AMBODIGOAVY","tmn_2014_0",20.43083142
"21",20,"FKT AMBODIMANGA OUEST","tmn_2014_0",19.92250737
"22",21,"FKT VOHITRARIVO","tmn_2014_0",20.1490897
"23",22,"FKT AMBOHIPO","tmn_2014_0",19.35119221
"24",23,"FKT RANOMAFANA","tmn_2014_0",17.6924832
"25",24,"FKT AMBATOLAHY","tmn_2014_0",17.22232707
"26",25,"FKT TSARAMANDROSO","tmn_2014_0",18.60851807
"27",26,"FKT VOHIMARINA","tmn_2014_0",19.44093866
"28",27,"FKT MENARANO","tmn_2014_0",19.07525585
"29",28,"FKT AMBODIAVIAVY","tmn_2014_0",19.44218084
"30",29,"FKT AMPASIMPOTSY","tmn_2014_0",19.35360669
"31",30,"FKT SAHANDRAZANA","tmn_2014_0",19.79235305
"32",31,"FKT MAROTOKO","tmn_2014_0",21.61101548
"33",32,"FKT AMBALAVIA","tmn_2014_0",21.19972036
"34",33,"FKT AMBATOMITRATRAKA","tmn_2014_0",21.15589455
"35",34,"FKT AMBARIJATSY","tmn_2014_0",21.30683829
"36",35,"FKT AMBOHIMAHAVELONA","tmn_2014_0",21.44886373
"37",36,"FKT AMBOATROTROKA","tmn_2014_0",21.5765638
"38",37,"FKT MANDIAFASINA","tmn_2014_0",21.59221965
"39",38,"FKT AMBODIARA SUD","tmn_2014_0",21.93762499
"40",39,"FKT MANAMPANDRANA","tmn_2014_0",21.79817712
"41",40,"FKT KIANJANOMBY","tmn_2014_0",21.45425681
"42",41,"FKT MALAZAMASINA SUD","tmn_2014_0",20.8928582
"43",42,"FKT MALAZAMASINA NORD","tmn_2014_0",18.39979196
"44",43,"FKT ANTANJOMANGA","tmn_2014_0",19.43786426
"45",44,"FKT BETAMPONA NORD","tmn_2014_0",19.49056327
"46",45,"FKT AMBINANINDRANO","tmn_2014_0",19.94197017
"47",46,"FKT TANAMBAO OUEST","tmn_2014_0",19.62457405
"48",47,"FKT MANAKANA","tmn_2014_0",19.34117533
"49",48,"FKT AMPASIMPOTSY","tmn_2014_0",19.38556209
"50",49,"FKT MAROHARATRA","tmn_2014_0",19.86294508
"51",50,"FKT SOANIERANA","tmn_2014_0",19.96252363
"52",51,"FKT MALEMIAMBO","tmn_2014_0",19.71674935
"53",52,"FKT AMPASIMADINIKAKELY","tmn_2014_0",19.33189925
"54",53,"FKT AMBALAVOLO","tmn_2014_0",20.3632209
"55",54,"FKT AMBOHITSARA EST","tmn_2014_0",20.8056138
"56",55,"FKT ANIVORANO","tmn_2014_0",20.44939639
"57",56,"FKT MAHATSARA","tmn_2014_0",20.49504239
