log_loss.01,log_loss.02,log_loss.03,log_loss.04,log_loss.05,log_loss.06,log_loss.07,log_loss.08,log_loss.09,log_loss.10,log_loss.11,log_loss.12,log_loss.13,log_loss.14,log_loss.15,log_loss.16,log_loss.17,log_loss.18,log_loss.19
0.003935422,0.002899931,0.002805672,0.002459884,0.002711394,0.000789942,0.002774248,0.002962758,0.001010869,0.0009162,0.00236553,0.00534349,0.00799078,0.01620296,0.008146002,0.01123884,0.008766334,0.006871544,0.005281005
0.008868223,0.004316705,0.002612578,0.006996333,0.006850476,0.003348512,0.008511665,0.007181897,0.004029811,0.003989764,0.011664297,0.004843296,0.012529073,0.017507218,0.01957921,0.021442641,0.018444389,0.013411726,0.006386061
0.006900822,0.005274703,0.005898191,0.004997309,0.005023322,0.00328569,0.007625422,0.006866287,0.00232702,0.004164063,0.004676351,0.010777134,0.015593412,0.021226473,0.030417359,0.02893455,0.021643935,0.013047268,0.007702987
0.000309326,0.002417182,0.001304549,0.000584099,0.003578124,0.000206242,0.003595174,0.004582904,0.001938244,0.001544434,0.003373477,0.001355965,0.003799716,0.004259584,0.006077252,0.022608912,0.01834514,0.012254512,0.008005498
4.06915E-05,0.004271418,0.004170684,0.001178327,0.007062511,0.000975395,0.005377953,0.001968856,0.000528611,0.004754617,0.003767515,0.002555755,0.005398046,0.010908407,0.015211905,0.030345514,0.023134046,0.018519006,0.00983578
0.000375736,0.002212158,0.001650813,0.000338177,0.007010014,0.000356957,0.003127466,0.003407276,0.003127466,0.002959493,0.004654902,0.000450844,0.003947734,0.006973024,0.007841447,0.01561635,0.017245092,0.014872338,0.009168439
0.000341293,0.001363563,0.000409519,0,0.004753857,0.000954944,0.001771798,0.003874924,0.001227399,0.001431629,0.003400914,0.000545939,0.00367184,0.003197608,0.009923691,0.018514702,0.019299217,0.011788476,0.005967913
0.002281709,0.000803048,0.001974069,6.18257E-05,0.005468306,0.00234321,0.004490302,0.002404703,0.000556114,0.001111518,0.004429104,0.002834911,0.00717453,0.014411934,0.017035717,0.028824057,0.017035717,0.019348165,0.011170019
0.000367351,0.002370062,0.002394429,0.001516376,0.007288622,0.001711652,0.004290808,0.002613665,0.001980014,0.003902481,0.003513807,0.002686719,0.003124785,0.005888994,0.009858917,0.032536297,0.021905055,0.022161228,0.008010801
0.000589451,0.000622175,0.000990148,0.000114678,0.002018818,0.000253889,0.006537225,0.003589771,0.003386599,0.002760235,0.002100355,0.00138231,0.000532178,0.001455801,0.0043204,0.01051361,0.009585031,0.004547457,0.002882325
0.000134491,0.000448142,0.001700485,0.00067204,0.004105568,4.48351E-05,0.006276491,0.004371979,0.004016728,0.002057635,0.001164209,0.000761566,0.003661186,0.004992971,0.012724899,0.011940423,0.014766597,0.005347424,0.005834326
0.001340499,0.001153078,0.002516725,0.000214758,0.002650186,0.000214758,0.003023658,0.000777993,0.002463329,0.000777993,0.002863638,0.000536696,0.006661498,0.006238209,0.01079328,0.023899211,0.014314924,0.007638776,0.007401262
0.005072944,0.005865475,0.002048066,0.006415226,0.007628873,0.003843749,0.0104421,0.00948434,0.003525431,0.006415226,0.004972731,0.007346546,0.018215446,0.024855967,0.026599692,0.032354217,0.028098943,0.015802715,0.005965481
0.007550701,0.006942408,0.006098078,0.012171863,0.005871484,0.005173527,0.007385677,0.007585434,0.002642774,0.004701772,0.003940642,0.006220042,0.014083641,0.022025819,0.029850106,0.031250208,0.019025383,0.012189046,0.008210168
0.003613127,0.008159629,0.004293995,0.003795904,0.005387791,0.00204807,0.009924039,0.004053322,0.005801389,0.006231113,0.010578738,0.007114019,0.017490732,0.015263659,0.016386692,0.027050922,0.017353887,0.017257264,0.007781195
0.004090261,0.004733168,0.008834164,0.00566259,0.010258225,0.002823837,0.009196099,0.00495464,0.004323148,0.00748247,0.009130315,0.006104474,0.015389759,0.012374717,0.017180177,0.030691215,0.02591772,0.014275115,0.010137909
0.00191873,0.001672995,0.003229789,0.002942541,0.007122646,0.001062292,0.009526635,0.007080793,0.002274376,0.005210006,0.003651869,0.004174679,0.011072169,0.00805076,0.01539691,0.030552196,0.023048727,0.014714748,0.008718444
0.007079975,0.004821904,0.004696575,0.005823236,0.007129837,0.002946549,0.014054558,0.006339688,0.002996888,0.008283364,0.010474082,0.007943433,0.014193568,0.01977428,0.028294206,0.039065749,0.025276219,0.020411448,0.006339688
